text,intent,action,target_group,parameter,value_type
"у Перфоратор механический ВП 854 поставь коэффициент загрузки 30, а у Редуктор электрический РЧ 499 150",multi_set_parameter,set_multiple,all,kz,absolute
"Лебёдка промышленный РЧ 763 загрузки 10, Кронштейн механический МУ 352 загрузки 40, Золотник ЗЛ-4 загрузки 10",multi_set_parameter,set_multiple,all,kz,absolute
"у Домкрат червячный P/N756 объём 6, у Болгарка свинцовый КН-922 объём 2000",multi_set_parameter,set_multiple,all,quantity,absolute
"для Клапан червячный ВП-647 загрузку 3.5, а для Генератор паронитовый Ф 72 загрузку 4.0",multi_set_parameter,set_multiple,all,kz,absolute
сформируй 10 новых позиций операция с разным сечением,create_items,create,операция,section,count
эй спасибо за помощь,unknown,none,none,none,none
"у Втулка В-8 такт выпуска 4.0, у Направляющая механический ВП 572 такт выпуска 3.5",multi_set_parameter,set_multiple,all,takt,absolute
"убавь выручку , операционные затраты у всех плазморезов на 2",update_parameter,decrease,all,inflow,absolute
добавь 2 редуктора по образцу РЦ-5,copy_items,copy,редуктор,none,count
зафиксируй потери по рискам для операций сборки равным 12,set_parameter,set,сборка,risk_losses,absolute
"установи переналадку: Перфоратор торцевой РЭ-254 0.6, Шуруповёрт червячный РЧ-503 1500",multi_set_parameter,set_multiple,all,setup_time,absolute
задай базовый убыток у редуктор до 2.0,set_parameter,set,редуктор,base_loss,absolute
у Редуктор приводной P/N-218 повысь загрузку на 3,update_parameter,increase,all,kz,absolute
измени загрузки для сборочные операции равным 12,set_parameter,set,сборка,kz,absolute
выстави для роботизированные звенья время обслуживания 2.5,set_parameter,set,роботизированная операция,service_time,absolute
подними операции сервисное время на 3%,update_parameter,increase,операция,service_time,percent
убавь дополнительные инвестиции для операция на 0.05,update_parameter,decrease,операция,additional_investment,absolute
повысь операции сборки объем на 30 процентов,update_parameter,increase,сборка,quantity,percent
понизь коэффициент загрузки все записи на 1.5,update_parameter,decrease,all,kz,absolute
у Корпус приводной Ф 496 снизь время операции на 2,update_parameter,decrease,all,top,absolute
задай ставки дисконтирования для операции до 3.0,set_parameter,set,операция,discount_rate,absolute
"Манжета приводной РЧ-307 top 0.6, Сепаратор СП-7 top 1200, Кронштейн механический МУ 352 top 7",multi_set_parameter,set_multiple,all,top,absolute
"у Перфоратор стальной КН409 поставь объём 1000, а у Звёздочка гидравлический СТ182 12",multi_set_parameter,set_multiple,all,quantity,absolute
задай для вентилятора ставку дисконтирования 2.5,set_parameter,set,вентилятор,discount_rate,absolute
"Толкатель Т-11 такт 0.6, Плазморез свинцовый P/N734 такт 150",multi_set_parameter,set_multiple,all,takt,absolute
"у Домкрат червячный АРТ-115 top 3.5, у Цилиндр стальной ПП-612 top 500",multi_set_parameter,set_multiple,all,top,absolute
нарасти роботизированные звенья порог окупаемости на 15%,update_parameter,increase,роботизированная операция,profitability_threshold,percent
увеличь коэффициент загрузки у всех роботизированных операций на 8%,update_parameter,increase,роботизированная операция,kz,percent
"для Генератор паронитовый Ф 72 затраты 6, а для Двигатель паронитовый СТ 286 затраты 18",multi_set_parameter,set_multiple,all,cost,absolute
найти все роботизированные операции в списке,show_items,show,роботизированная операция,none,none
Клапан сварной Ф297 объем до 2.0,set_parameter,set,all,quantity,absolute
понизь число станков на робота всех позиций на 10 процентов,update_parameter,decrease,all,max_machines_per_robot,percent
Клапан литой Z-473 оперативное время равным 4,set_parameter,set,all,top,absolute
"у Сепаратор гидравлический СТ359 поставь переналадки 0.9, а у Фланец торцевой ВП 365 100",multi_set_parameter,set_multiple,all,setup_time,absolute
снизь загрузку для роботизированных операций на 5,update_parameter,decrease,роботизированная операция,kz,absolute
"для Плазморез свинцовый В 791 задай такт 6, для Манжета стальной МУ186 1.8",multi_set_parameter,set_multiple,all,takt,absolute
"установи время операции: Корпус электрический Ф 645 750, Направляющая механический ВП 572 9",multi_set_parameter,set_multiple,all,top,absolute
"Демпфер гидравлический УТ182 время операции 150, Ротор электродвигателя РЭ-7 4.0",multi_set_parameter,set_multiple,all,top,absolute
"для 3 года поставь затраты на обслуживание 2000, а для 2 года 9",multi_set_parameter,set_multiple,economics,maintenance_costs,absolute
прибавь у всех всех позиций порог окупаемости на 0.05,update_parameter,increase,all,profitability_threshold,absolute
"увеличь объем , загрузки у всех сварочных аппаратов на 8%",update_parameter,increase,all,quantity,percent
слушай что такое npv,unknown,none,none,none,none
"для РЦ-5 поставь коэффициент загрузки 1.2, для РЦ-2 10",multi_set_parameter,set_multiple,редуктор,kz,absolute
уменьши у всех редукторов время операции на 10 процентов,update_parameter,decrease,редуктор,top,percent
повысь роботизированную операцию порог окупаемости на 3,update_parameter,increase,роботизированная операция,profitability_threshold,absolute
понизь количество у всех вентилятор на 25 процентов,update_parameter,decrease,вентилятор,quantity,percent
повысь для всех цену на 5 процентов,update_parameter,increase,all,cost,percent
подними редуктор время обслуживания на 0.05,update_parameter,increase,редуктор,service_time,absolute
установи базовый убыток на 500000,set_parameter,set,all,base_loss,absolute
"Манжета промышленный ПП-630 объем 1.8, Сепаратор промышленный Ф267 объем 15",multi_set_parameter,set_multiple,all,quantity,absolute
"установи загрузку: Сальник стальной АРТ625 2000, Клапан стальной УТ 401 4.0",multi_set_parameter,set_multiple,all,kz,absolute
задай фонд рабочего времени на 12,set_parameter,set,all,time_fund,absolute
прибавь роботизированные звенья доп инвестиции на 12%,update_parameter,increase,роботизированная операция,additional_investment,percent
сократи вентиляторы to на 7 процентов,update_parameter,decrease,вентилятор,service_time,percent
"у Шуруповёрт усиленный Ф-420 такт производства 18, у Толкатель свинцовый P/N651 такт производства 500",multi_set_parameter,set_multiple,all,takt,absolute
нарасти сборку kz на 5 процентов,update_parameter,increase,сборка,kz,percent
"установи время операции: Генератор литой Z175 9, Манжета P/N773 0.7",multi_set_parameter,set_multiple,all,top,absolute
поменяй фонд времени для операция 5,set_parameter,set,операция,time_fund,absolute
снизь всех операций такт выпуска на 0.1,update_parameter,decrease,операция,takt,absolute
